City,Air_Quality_Index,Happiness_Score,Cost_of_Living_Index,Region,Country,AvgTemperature,Traffic_enc,IATA,Airport name,"Meal, Inexpensive Restaurant (euro)","Meal for 2 People, Mid-range Restaurant, Three-course (euro)",Rent per month Apartment (1 bedroom) in City Centre (euro),Rent per month Apartment (1 bedroom) Outside of Centre (euro),Rent per month Apartment (3 bedrooms) in City Centre (euro),Rent per month Apartment (3 bedrooms) Outside of Centre (euro),Pays,Vol euro,Séjour euro,Sur place euro,Latitude,Longitude,Continent_enc
Los Angeles,50,6.8,90,North America,États-Unis,16.975391257420398,1,"['LAX', 'LSQ', 'WHP']","['Los Angeles International Airport', 'María Dolores Airport', 'Whiteman Airport']",13.0,73.0,2156.0,1639.0,3918.0,3022.0,US,513.0,1409.0,97.0,34.0536909,-118.242766,4
Chicago,55,7.0,85,North America,États-Unis,10.191257420399353,1,"['MDW', 'ORD']","['Chicago Midway International Airport', ""Chicago O'Hare International Airport""]",13.0,67.0,1653.0,1206.0,3284.0,2057.0,US,513.0,1409.0,97.0,41.8755616,-87.6244212,4
Londres,60,7.2,110,Europe,Royaume-Uni,11.308439456075977,2,"['BQH', 'LCY', 'LGW', 'LHR', 'LOZ', 'LTN', 'NHT', 'STN', 'YXU']","['London Biggin Hill Airport', 'London City Airport', 'London Gatwick Airport', 'London Heathrow Airport', 'London-Corbin Airport/Magee Field', 'London Luton Airport', 'RAF Northolt', 'London Stansted Airport', 'London Airport']",13.0,68.0,1940.0,1401.0,3253.0,2292.0,United Kingdom,92.0,1160.0,108.0,51.4893335,-0.14405508452768728,1
Paris,65,6.9,95,Europe,France,11.632203755665875,2,"['CDG', 'LBG', 'ORY', 'PHT', 'PRX']","['Charles de Gaulle International Airport', 'Paris-Le Bourget Airport', 'Paris-Orly Airport', 'Henry County Airport', 'Cox Field']",10.0,52.0,1112.0,821.0,2492.0,1694.0,France,64.0,599.0,90.0,48.8534951,2.3483915,1
Tokyo,70,6.0,120,Asia,Japon,16.13749190589251,2,"['HND', 'NRT']","['Tokyo Haneda International Airport', 'Narita International Airport']",5.0,37.0,928.0,536.0,2035.0,1103.0,Japan,586.0,2749.0,82.0,35.6821936,139.762221,2
Séoul,75,5.8,105,Asia,Corée du Sud,11.597560975609756,2,"['GMP', 'ICN']","['Gimpo International Airport', 'Incheon International Airport']",5.0,44.0,680.0,490.0,2200.0,1414.0,South Korea,550.0,1438.0,71.0,37.5666791,126.9782914,2
Sydney,30,7.8,115,Australia/South Pacific,Australie,14.179689186272393,0,"['BWU', 'SYD', 'YQY']","['Sydney Bankstown Airport', 'Sydney Kingsford Smith International Airport', 'Sydney / J.A. Douglas McCurdy Airport']",8.0,68.0,1391.0,1044.0,2785.0,1790.0,Australia,1008.0,3580.0,109.0,-33.8698439,151.2082848,5
Istanbul,85,6.8,75,Middle East,Turquie,15.250917332182171,2,"['ISL', 'IST', 'SAW']","['Istanbul New Airport', 'Istanbul International Airport', 'Sabiha Gökçen International Airport']",5.0,20.0,453.0,262.0,867.0,484.0,Turkey,174.0,411.0,55.0,41.0766019,29.052495,6
Rio de Janeiro,55,6.5,80,South/Central America & Carribean,Brésil,22.875229357798165,1,['SNZ'],['Santa Cruz Air Force Base'],5.0,24.0,324.0,208.0,649.0,468.0,Brazil,734.0,1417.0,66.0,-22.9110137,-43.2093727,3
Toronto,40,7.1,95,North America,Canada,8.660892831995493,1,"['YKZ', 'YTZ', 'YYZ', 'YZD']","['Buttonville Municipal Airport', 'Billy Bishop Toronto City Centre Airport', 'Lester B. Pearson International Airport', 'Downsview Airport']",13.0,69.0,1424.0,1205.0,2305.0,1928.0,Canada,641.0,1831.0,93.0,43.6534817,-79.3839347,4
